"imdb_id","title"
"tt0816692","Interstellar"
"tt0848228","The Avengers"
"tt1431045","Deadpool"
"tt4154756","Avengers: Infinity War"
"tt2015381","Guardians of the Galaxy"
"tt1853728","Django Unchained"
"tt4154796","Avengers: Endgame"
"tt0993846","The Wolf of Wall Street"
"tt2395427","Avengers: Age of Ultron"
"tt3498820","Captain America: Civil War"
"tt1345836","The Dark Knight Rises"
"tt1300854","Iron Man 3"
"tt1211837","Doctor Strange"
"tt1392190","Mad Max: Fury Road"
"tt1392170","The Hunger Games"
"tt2250912","Spider-Man: Homecoming"
"tt3896198","Guardians of the Galaxy Vol. 2"
"tt1386697","Suicide Squad"
"tt3501632","Thor: Ragnarok"
"tt0369610","Jurassic World"
"tt0478970","Ant-Man"
"tt3659388","The Martian"
"tt2488496","Star Wars: The Force Awakens"
"tt10872600","Spider-Man: No Way Home"
"tt2911666","John Wick"
"tt3183660","Fantastic Beasts and Where to Find Them"
"tt2380307","Coco"
"tt1843866","Captain America: The Winter Soldier"
"tt2267998","Gone Girl"
"tt0903624","The Hobbit: An Unexpected Journey"
"tt2975590","Batman v Superman: Dawn of Justice"
"tt1981115","Thor: The Dark World"
"tt0948470","The Amazing Spider-Man"
"tt5463162","Deadpool 2"
"tt1951264","The Hunger Games: Catching Fire"
"tt2084970","The Imitation Game"
"tt1727824","Bohemian Rhapsody"
"tt1790864","The Maze Runner"
"tt2802144","Kingsman: The Secret Service"
"tt3783958","La La Land"
"tt2294629","Frozen"
"tt5013056","Dunkirk"
"tt2948356","Zootopia"
"tt2872732","Lucy"
"tt2245084","Big Hero 6"
"tt1670345","Now You See Me"
"tt1951265","The Hunger Games: Mockingjay - Part 1"
"tt4154664","Captain Marvel"
"tt3890160","Baby Driver"
"tt6320628","Spider-Man: Far From Home"
"tt1074638","Skyfall"
"tt1454468","Gravity"
"tt1877832","X-Men: Days of Future Past"
"tt1677720","Ready Player One"
"tt0816711","World War Z"
"tt2527336","Star Wars: The Last Jedi"
"tt0770828","Man of Steel"
"tt4633694","Spider-Man: Into the Spider-Verse"
"tt2278388","The Grand Budapest Hotel"
"tt1798709","Her"
"tt2310332","The Hobbit: The Battle of the Five Armies"
"tt3460252","The Hateful Eight"
"tt1477834","Aquaman"
"tt1631867","Edge of Tomorrow"
"tt2283362","Jumanji: Welcome to the Jungle"
"tt2119532","Hacksaw Ridge"
"tt1217209","Brave"
"tt5095030","Ant-Man and the Wasp"
"tt1587310","Maleficent"
"tt1355644","Passengers"
"tt0454876","Life of Pi"
"tt0470752","Ex Machina"
