"imdb_id","name","actor_id_imdb","awards_and_nominations","oscars_nominations","number_of_movies"
"tt0816692","Matthew McConaughey","nm0000190","49 wins & 87 nominations total","Won 1 Oscar",79
"tt0816692","Anne Hathaway","nm0004266","69 wins & 121 nominations total","Won 1 Oscar",57
"tt0848228","Robert Downey Jr.","nm0000375","79 wins & 153 nominations total","Won 1 Oscar",91
"tt0848228","Chris Evans","nm0262635","8 wins & 60 nominations","Awards",60
"tt1431045","Ryan Reynolds","nm0005351","24 wins & 66 nominations total","Won 1 Primetime Emmy",118
"tt1431045","Morena Baccarin","nm1072555","4 wins & 15 nominations total","Nominated for 1 Primetime Emmy",59
"tt4154756","Chris Hemsworth","nm1165110","17 wins & 51 nominations total","Nominated for 1 BAFTA Award",47
"tt2015381","Chris Pratt","nm0695435","18 wins & 49 nominations","Awards",67
"tt2015381","Vin Diesel","nm0004874","9 wins & 43 nominations","Awards",26
"tt1853728","Jamie Foxx","nm0004937","60 wins & 102 nominations total","Won 1 Oscar",82
"tt1853728","Christoph Waltz","nm0910607","87 wins & 43 nominations total","Won 2 Oscars",123
"tt0993846","Leonardo DiCaprio","nm0000138","106 wins & 285 nominations total","Won 1 Oscar",48
"tt0993846","Jonah Hill","nm1706767","9 wins & 66 nominations total","Nominated for 2 Oscars",65
"tt1345836","Christian Bale","nm0000288","83 wins & 133 nominations total","Won 1 Oscar",55
"tt1345836","Tom Hardy","nm0362766","22 wins & 86 nominations total","Nominated for 1 Oscar",58
"tt1300854","Guy Pearce","nm0001602","12 wins & 45 nominations total","Won 1 Primetime Emmy",91
"tt1211837","Benedict Cumberbatch","nm1212722","72 wins & 163 nominations total","Nominated for 2 Oscars",96
"tt1211837","Chiwetel Ejiofor","nm0252230","60 wins & 90 nominations total","Nominated for 1 Oscar",57
"tt1392190","Charlize Theron","nm0000234","70 wins & 149 nominations total","Won 1 Oscar",21
"tt1392170","Jennifer Lawrence","nm2225369","121 wins & 200 nominations total","Won 1 Oscar",33
"tt1392170","Josh Hutcherson","nm1242688","19 wins & 25 nominations","Awards",56
"tt2250912","Tom Holland","nm4043618","25 wins & 37 nominations total","Won 1 BAFTA Award",40
"tt2250912","Michael Keaton","nm0000474","76 wins & 51 nominations total","Nominated for 1 Oscar",91
"tt3896198","Zoe Saldana","nm0757855","21 wins & 75 nominations","Awards",73
"tt1386697","Will Smith","nm0000226","96 wins & 186 nominations total","Won 1 Oscar",41
"tt1386697","Jared Leto","nm0001467","55 wins & 53 nominations total","Won 1 Oscar",41
"tt3501632","Tom Hiddleston","nm1089991","11 wins & 42 nominations total","Nominated for 2 Primetime Emmys",52
"tt0369610","Bryce Dallas Howard","nm0397171","21 wins & 31 nominations","Awards",44
"tt0478970","Paul Rudd","nm0748620","9 wins & 30 nominations","Awards",133
"tt0478970","Michael Douglas","nm0000140","58 wins & 68 nominations total","Won 2 Oscars",65
"tt3659388","Matt Damon","nm0000354","40 wins & 158 nominations total","Won 1 Oscar",25
"tt3659388","Jessica Chastain","nm1567113","108 wins & 170 nominations total","Won 1 Oscar",60
"tt2488496","Daisy Ridley","nm5397459","8 wins & 32 nominations","Awards",40
"tt2488496","John Boyega","nm3915784","16 wins & 36 nominations total","Won 1 BAFTA Award",34
"tt10872600","Zendaya","nm3918035","30 wins & 56 nominations total","Won 2 Primetime Emmys",50
"tt2911666","Keanu Reeves","nm0000206","15 wins & 42 nominations","Awards",107
"tt2911666","Michael Nyqvist","nm0638824","6 wins & 7 nominations","Awards",93
"tt3183660","Eddie Redmayne","nm1519666","26 wins & 80 nominations total","Won 1 Oscar",35
"tt3183660","Katherine Waterston","nm2239702","3 wins & 13 nominations","Awards",51
"tt2380307","Anthony Gonzalez","nm5645519","9 wins & 5 nominations","Awards",17
"tt2380307","Gael García Bernal","nm0305558","40 wins & 52 nominations total","Nominated for 2 BAFTA Awards",67
"tt1843866","Samuel L. Jackson","nm0000168","48 wins & 97 nominations total","Nominated for 1 Oscar",208
"tt2267998","Ben Affleck","nm0000255","75 wins & 137 nominations total","Won 2 Oscars",26
"tt2267998","Rosamund Pike","nm0683253","36 wins & 78 nominations total","Nominated for 1 Oscar",61
"tt0903624","Martin Freeman","nm0293509","12 wins & 46 nominations total","Won 1 Primetime Emmy",96
"tt0903624","Ian McKellen","nm0005212","53 wins & 65 nominations total","Nominated for 2 Oscars",136
"tt2975590","Henry Cavill","nm0147147","4 wins & 15 nominations","Awards",29
"tt1981115","Natalie Portman","nm0000204","95 wins & 180 nominations total","Won 1 Oscar",70
"tt0948470","Andrew Garfield","nm1940449","39 wins & 141 nominations total","Nominated for 2 Oscars",36
"tt0948470","Emma Stone","nm1297015","109 wins & 242 nominations total","Won 2 Oscars",55
"tt5463162","Josh Brolin","nm0000982","21 wins & 63 nominations total","Nominated for 1 Oscar",76
"tt2084970","Keira Knightley","nm0461136","28 wins & 110 nominations total","Nominated for 2 Oscars",61
"tt1727824","Rami Malek","nm1785339","26 wins & 51 nominations total","Won 1 Oscar",40
"tt1727824","Lucy Boynton","nm2377903","1 win & 3 nominations","Awards",33
"tt1790864","Dylan O'Brien","nm3729721","12 wins & 9 nominations","Awards",28
"tt1790864","Kaya Scodelario","nm2546012","1 win & 11 nominations","Awards",28
"tt2802144","Colin Firth","nm0000147","70 wins & 75 nominations total","Won 1 Oscar",91
"tt2802144","Taron Egerton","nm5473782","10 wins & 48 nominations total","Nominated for 1 Primetime Emmy",28
