"","title","imdb_id","Budget","MovieID"
"1","John Wick: Chapter 2","tt4425200",NA,324552
"2","Your Name.","tt5311514",NA,372058
"3","Godzilla vs. Kong","tt5034838",NA,399566
"4","Free Guy","tt6264654",NA,550988
"5","The Cabin in the Woods","tt1259521",NA,22970
"6","The Super Mario Bros. Movie","tt6718170",NA,502356
"7","Train to Busan","tt5700672",NA,396535
"8","F9","tt5433138",NA,385128
"9","The Platform","tt8228288",NA,619264
"10","Raya and the Last Dragon","tt5109280",NA,527774
"11","Love, Rosie","tt1638002",NA,200727
"12","Project X","tt1636826",NA,57214
"13","A Quiet Place Part II","tt8332922",NA,520763
"14","What Happened to Monday","tt1536537",NA,406990
"15","Enemy","tt2316411",NA,181886
"16","Glass Onion: A Knives Out Mystery","tt11564570",NA,661374
"17","Isle of Dogs","tt5104604",NA,399174
"18","Blue Is the Warmest Color","tt2278871",NA,152584
"19","The Invisible Guest","tt4857264",NA,411088
"20","The Black Phone","tt7144666",NA,756999
"21","Okja","tt3967856",NA,387426
"22","The King's Man","tt6856242",NA,476669
"23","The Autopsy of Jane Doe","tt3289956",NA,397243
"24","Fantastic Beasts: The Secrets of Dumbledore","tt4123432",NA,338953
"25","The Northman","tt11138512",NA,639933
"26","A Silent Voice: The Movie","tt5323662",NA,378064
"27","The Croods: A New Age","tt2850386",NA,529203
"28","Molly's Game","tt4209788",NA,396371
"29","Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train","tt11032374",NA,635302
"30","The Killing of a Sacred Deer","tt5715874",NA,399057
"31","The Handmaiden","tt4016934",NA,290098
"32","What We Do in the Shadows","tt3416742",NA,246741
"33","M3GAN","tt8760708",NA,536554
"34","Extremely Wicked, Shockingly Evil and Vile","tt2481498",NA,457799
"35","A Monster Calls","tt3416532",NA,258230
"36","Wild Tales","tt3011894",NA,265195
"37","Minions: The Rise of Gru","tt5113044",NA,438148
"38","Chef","tt2883512",NA,212778
"39","Raw","tt4954522",NA,393519
"40","The Great Beauty","tt2358891",NA,179144
"41","The Bling Ring","tt2132285",NA,96936
"42","Two Is a Family","tt5078204",NA,382591
"43","Promising Young Woman","tt9620292",NA,582014
