"title","imdb_id","release_year","Budget"
"Avengers: Infinity War","tt4154756",2018,3e+08
"Spider-Man: No Way Home","tt10872600",2021,2e+08
"Coco","tt2380307",2017,1.75e+08
"The Hobbit: An Unexpected Journey","tt0903624",2012,2e+08
"The Imitation Game","tt2084970",2014,1.5e+07
"Zootopia","tt2948356",2016,1.5e+08
"The Hobbit: The Battle of the Five Armies","tt2310332",2014,2.5e+08
"Aquaman","tt1477834",2018,1.6e+08
"Ant-Man and the Wasp","tt5095030",2018,1.3e+08
"The Amazing Spider-Man 2","tt1872181",2014,2e+08
"Justice League","tt0974015",2017,3e+08
"The Hobbit: The Desolation of Smaug","tt1170358",2013,2.5e+08
"Incredibles 2","tt3606756",2018,2e+08
"John Wick: Chapter 2","tt4425200",2017,NA
"The Shape of Water","tt5580390",2017,19500000
"Finding Dory","tt2277860",2016,2e+08
"Call Me by Your Name","tt5726616",2017,3500000
"Your Name.","tt5311514",2016,NA
"Now You See Me 2","tt3110958",2016,9e+07
"Monsters University","tt1453405",2013,2e+08
"The Perks of Being a Wallflower","tt1659337",2012,1.3e+07
"Avatar: The Way of Water","tt1630029",2022,4.6e+08
"Three Billboards Outside Ebbing, Missouri","tt5027774",2017,1.2e+07
"Venom: Let There Be Carnage","tt7097896",2021,1.1e+08
"Godzilla vs. Kong","tt5034838",2021,NA
"Snowpiercer","tt1706620",2013,4e+07
"Tenet","tt6723592",2020,2.05e+08
"Encanto","tt2953050",2021,1.5e+08
"The Batman","tt1877830",2022,2e+08
"Shang-Chi and the Legend of the Ten Rings","tt9376612",2021,1.5e+08
"Doctor Strange in the Multiverse of Madness","tt9419884",2022,2e+08
"Lady Bird","tt4925292",2017,1e+07
"Wonder Woman 1984","tt7126948",2020,2e+08
"About Time","tt2194499",2013,1.2e+07
"Spotlight","tt1895587",2015,2e+07
"Free Guy","tt6264654",2021,NA
"Top Gun: Maverick","tt1745960",2022,1.7e+08
"Eternals","tt9032400",2021,2e+08
"10 Cloverfield Lane","tt1179933",2016,1.5e+07
"The Cabin in the Woods","tt1259521",2012,NA
"Nocturnal Animals","tt4550098",2016,22500000
"Hereditary","tt7784604",2018,1e+07
"The Super Mario Bros. Movie","tt6718170",2023,NA
"Train to Busan","tt5700672",2016,NA
"The Boss Baby","tt3874544",2017,1.25e+08
"F9","tt5433138",2021,NA
"Cloud Atlas","tt1371111",2012,1.02e+08
"Thor: Love and Thunder","tt10648342",2022,2.5e+08
"Marriage Story","tt7653254",2019,1.8e+07
"Puss in Boots: The Last Wish","tt3915174",2022,9e+07
"The Platform","tt8228288",2019,NA
"Mulan","tt4566758",2020,2e+08
"Raya and the Last Dragon","tt5109280",2021,NA
"Allegiant","tt3410834",2016,1.1e+08
"The Irishman","tt1302006",2019,1.59e+08
"The Age of Adaline","tt1655441",2015,3e+07
"Captain Fantastic","tt3553976",2016,5e+06
"Love, Rosie","tt1638002",2014,NA
"It Follows","tt3235888",2014,2e+06
"The Impossible","tt1649419",2012,4e+07
"Project X","tt1636826",2012,NA
"A Quiet Place Part II","tt8332922",2021,NA
"What Happened to Monday","tt1536537",2017,NA
"The Babadook","tt2321549",2014,2e+06
"The Lobster","tt3464902",2015,4500000
"The Danish Girl","tt0810819",2015,1.5e+07
"No Time to Die","tt2382320",2021,2.5e+08
"Black Panther: Wakanda Forever","tt9114286",2022,2.5e+08
"Black Adam","tt6443346",2022,2e+08
"Mortal Kombat","tt0293429",2021,5.5e+07
"The Conjuring: The Devil Made Me Do It","tt7069210",2021,4e+07
"I, Tonya","tt5580036",2017,1.1e+07
"Enemy","tt2316411",2013,NA
